Timestamp,Scenario,Temp,Hum,AccX_RMS,AccY_RMS,AccZ_RMS
2026-04-01 21:55:40,D0,25.67,50.0,2579.40011436768,2425.7474002871777,2050.519085500059
2026-04-01 21:55:41,D0,25.67,50.0,2581.0049496271795,2425.0519664535027,2049.253242037206
2026-04-01 21:55:42,D0,25.67,49.0,2582.632211523739,2424.1932513725055,2048.1995508250657
2026-04-01 21:55:43,D0,25.67,49.0,2583.929358554525,2423.514169548014,2047.4584611170992
2026-04-01 21:55:44,D0,25.67,49.0,2585.610813715011,2422.6738554745666,2046.4311349273398
2026-04-01 21:55:45,D0,25.67,49.0,2587.254977770842,2421.93957810677,2045.2869309708112
2026-04-01 21:55:46,D0,25.68,49.0,2588.4352184283075,2422.0296344182084,2043.978148121941
2026-04-01 21:55:47,D0,25.68,49.0,2589.3912006492956,2421.59240996498,2043.328514948098
2026-04-01 21:55:48,D0,25.68,49.0,2590.504736533018,2420.8006795273336,2042.8565808690535
2026-04-01 21:55:49,D0,25.69,50.0,2591.3631239176034,2420.169004429236,2042.575719526696
2026-04-01 21:55:50,D0,25.69,50.0,2592.7544503866925,2419.1249843693486,2042.043853593747
2026-04-01 21:55:51,D0,25.69,50.0,2593.7133284154593,2418.588927453361,2041.522270267949
2026-04-01 21:55:52,D0,25.69,50.0,2594.4581534493864,2418.084165201865,2041.2013864388787
2026-04-01 21:55:53,D0,25.69,50.0,2595.366956713443,2417.6235666455605,2040.7310332329441
2026-04-01 21:55:54,D0,25.69,50.0,2596.964389436251,2416.5017421884886,2040.2695679738008
2026-04-01 21:55:55,D0,25.7,49.0,2600.3966543587153,2411.2826669637884,2040.8434114355762
2026-04-01 21:55:56,D0,25.7,49.0,2605.943086485198,2407.3142835948943,2038.8245706779187
2026-04-01 21:55:57,D0,25.7,49.0,2607.7690714478535,2408.037476867833,2037.838860165347
2026-04-01 21:55:58,D0,25.72,50.0,2606.892866997031,2410.4074365135866,2036.3172100633044
2026-04-01 21:55:59,D0,25.72,50.0,2606.9225861156674,2411.046523814918,2035.4356806344927
2026-04-01 21:56:00,D0,25.72,50.0,2608.584738895787,2410.4477737549096,2034.2018483916488
2026-04-01 21:56:01,D0,25.72,49.0,2609.811110023099,2410.164324273347,2033.0378747086834
2026-04-01 21:56:02,D0,25.72,49.0,2610.7260714215117,2410.5066749544585,2031.7293938908301
2026-04-01 21:56:03,D0,25.72,49.0,2612.570299532627,2410.1100099373057,2029.896433318705
2026-04-01 21:56:04,D0,25.73,50.0,2614.668200747468,2409.3827632819157,2028.1678973891683
2026-04-01 21:56:05,D0,25.73,50.0,2616.358339371731,2408.90617916099,2026.602136582314
2026-04-01 21:56:06,D0,25.73,50.0,2617.8241499382652,2408.6815023991862,2024.9886863881488
2026-04-01 21:56:07,D0,25.75,50.0,2619.7251974205233,2408.0721293183888,2023.4157210024835
2026-04-01 21:56:08,D0,25.75,50.0,2621.3664966959504,2407.5752075480423,2021.8682499114527
2026-04-01 21:56:09,D0,25.75,50.0,2622.9687188374933,2407.2209765619773,2020.240745554846
2026-04-01 21:56:10,D0,25.75,50.0,2623.493643979341,2407.6667045087447,2019.0368198722877
2026-04-01 21:56:11,D0,25.75,50.0,2624.9140119249623,2407.426360244483,2017.442698071001
2026-04-01 21:56:12,D0,25.75,50.0,2626.1421305786175,2407.31626297834,2015.9640472984631
2026-04-01 21:56:13,D0,25.75,50.0,2626.3102710837497,2408.2650767720734,2014.599990072471
