Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D4_D1eD2,36.54,33.0,3685.0,2.0,3686.0,3681.0,3685.0,-1.5,0.25,0.1,1458.5,0.5,1459.0,1458.0,1458.5,0.0,-2.0,0.1,1083.3,0.46,1084.0,1083.0,1083.3,0.873,-1.238,0.1
D4_D1eD2,36.54,33.0,3685.85,0.36,3686.0,3685.0,3685.85,-1.96,1.843,0.1,1457.9,0.89,1459.0,1456.0,1457.9,-1.085,0.602,0.2,1083.95,0.59,1085.0,1083.0,1083.95,0.011,-0.141,0.2
D4_D1eD2,36.54,33.0,3684.95,0.92,3686.0,3683.0,3684.95,-0.286,-1.061,0.1,1457.35,0.91,1458.0,1456.0,1457.35,-0.746,-1.374,0.1,1084.75,1.18,1086.0,1081.0,1084.75,-1.342,2.575,0.1
D4_D1eD2,36.54,33.0,3683.7,0.71,3685.0,3683.0,3683.7,0.511,-0.925,0.1,1457.05,1.63,1459.0,1453.0,1457.05,-1.265,1.209,0.2,1083.85,2.35,1087.0,1081.0,1083.85,-0.12,-1.754,0.1
D4_D1eD2,36.54,33.0,3683.6,0.49,3684.0,3683.0,3683.6,-0.408,-1.833,0.1,1456.5,1.88,1459.0,1453.0,1456.5,-0.919,-0.15,0.2,1083.95,2.25,1087.0,1081.0,1083.95,-0.123,-1.473,0.1
D4_D1eD2,36.54,33.0,3684.3,0.71,3685.0,3682.0,3684.3,-1.334,2.766,0.1,1456.55,1.2,1457.0,1453.0,1456.55,-2.529,4.599,0.1,1084.85,0.91,1087.0,1084.0,1084.85,1.097,0.553,0.1
D4_D1eD2,36.54,33.0,3683.3,1.45,3685.0,3682.0,3683.3,0.253,-1.894,0.1,1456.45,0.5,1457.0,1456.0,1456.45,0.201,-1.96,0.1,1085.15,0.96,1086.0,1084.0,1085.15,-0.303,-1.853,0.1
D4_D1eD2,36.54,33.0,3682.45,1.07,3685.0,3682.0,3682.45,1.96,1.843,0.1,1456.45,1.07,1458.0,1455.0,1456.45,0.496,-1.164,0.1,1085.1,1.37,1086.0,1083.0,1085.1,-0.873,-1.238,0.1
D4_D1eD2,36.54,33.0,3683.7,1.73,3686.0,3682.0,3683.7,0.122,-1.827,0.1,1456.1,1.7,1458.0,1454.0,1456.1,-0.095,-1.717,0.1,1085.0,2.32,1089.0,1083.0,1085.0,0.717,-0.963,0.1
D4_D1eD2,36.54,33.0,3683.95,1.8,3686.0,3681.0,3683.95,-0.284,-1.419,0.1,1455.45,1.69,1458.0,1453.0,1455.45,-0.039,-1.756,0.2,1086.0,2.37,1089.0,1083.0,1086.0,0.181,-1.597,0.1
D4_D1eD2,36.54,33.0,3682.8,1.72,3686.0,3681.0,3682.8,0.311,-1.225,0.1,1454.7,1.68,1457.0,1453.0,1454.7,0.352,-1.51,0.1,1086.5,1.75,1089.0,1084.0,1086.5,0.0,-1.725,0.2
D4_D1eD2,36.54,33.0,3683.35,1.59,3685.0,3681.0,3683.35,-0.659,-1.265,0.1,1454.4,0.92,1455.0,1453.0,1454.4,-0.873,-1.238,0.1,1085.65,1.59,1088.0,1084.0,1085.65,0.659,-1.265,0.1
D4_D1eD2,36.54,33.0,3684.75,0.43,3685.0,3684.0,3684.75,-1.155,-0.667,0.1,1455.0,0.0,1455.0,1455.0,1455.0,0.0,0.0,0.0,1084.25,0.43,1085.0,1084.0,1084.25,1.155,-0.667,0.1
D4_D1eD2,36.54,33.0,3684.3,0.95,3685.0,3683.0,3684.3,-0.629,-1.604,0.1,1455.35,0.48,1456.0,1455.0,1455.35,0.629,-1.604,0.1,1085.05,1.43,1087.0,1084.0,1085.05,0.629,-1.604,0.1
D4_D1eD2,36.54,33.0,3683.4,0.73,3685.0,3683.0,3683.4,1.482,0.481,0.1,1455.45,1.2,1456.0,1452.0,1455.45,-2.294,3.797,0.1,1086.45,1.07,1087.0,1084.0,1086.45,-1.7,1.16,0.1
D4_D1eD2,36.54,33.0,3683.1,0.77,3684.0,3682.0,3683.1,-0.172,-1.289,0.1,1454.35,1.77,1456.0,1452.0,1454.35,-0.484,-1.601,0.1,1086.15,0.79,1087.0,1085.0,1086.15,-0.273,-1.359,0.1
D4_D1eD2,36.54,33.0,3683.1,0.99,3684.0,3682.0,3683.1,-0.201,-1.96,0.1,1455.1,2.17,1458.0,1452.0,1455.1,-0.099,-1.117,0.1,1084.6,1.59,1087.0,1082.0,1084.6,-0.738,-0.821,0.2
D4_D1eD2,36.54,33.0,3683.85,1.01,3685.0,3682.0,3683.85,-0.849,-0.367,0.1,1456.6,2.03,1459.0,1454.0,1456.6,-0.127,-1.717,0.1,1084.6,2.35,1088.0,1082.0,1084.6,0.392,-1.432,0.2
D4_D1eD2,36.54,33.01,3683.85,0.85,3685.0,3683.0,3683.85,0.291,-1.565,0.1,1456.75,1.92,1459.0,1454.0,1456.75,-0.278,-1.427,0.1,1085.25,1.92,1088.0,1083.0,1085.25,0.278,-1.427,0.2
D4_D1eD2,36.55,33.02,3683.35,0.57,3685.0,3683.0,3683.35,1.405,0.969,0.1,1457.75,1.09,1459.0,1456.0,1457.75,-0.652,-0.903,0.1,1084.75,0.83,1086.0,1084.0,1084.75,0.493,-1.372,0.1
D4_D1eD2,36.54,33.05,3683.8,0.87,3686.0,3683.0,3683.8,1.304,1.341,0.2,1457.5,1.12,1459.0,1456.0,1457.5,0.0,-1.36,0.1,1083.9,0.77,1085.0,1083.0,1083.9,0.172,-1.289,0.1
D4_D1eD2,36.54,33.08,3685.05,1.2,3686.0,3683.0,3685.05,-0.613,-1.357,0.1,1456.25,0.43,1457.0,1456.0,1456.25,1.155,-0.667,0.1,1083.15,0.36,1084.0,1083.0,1083.15,1.96,1.843,0.1
D4_D1eD2,36.56,33.05,3685.05,1.47,3686.0,3682.0,3685.05,-0.944,-0.981,0.1,1456.05,0.22,1457.0,1456.0,1456.05,4.129,15.053,0.9,1083.1,0.44,1085.0,1083.0,1083.1,4.129,15.053,0.1
D4_D1eD2,36.54,33.02,3683.6,1.24,3686.0,3682.0,3683.6,1.262,-0.025,0.1,1456.0,0.32,1457.0,1455.0,1456.0,0.0,7.0,0.2,1083.3,0.95,1087.0,1083.0,1083.3,3.173,8.829,0.4
D4_D1eD2,36.52,33.1,3683.55,0.5,3684.0,3683.0,3683.55,-0.201,-1.96,0.1,1455.95,1.43,1460.0,1455.0,1455.95,2.136,3.505,0.1,1085.1,1.92,1087.0,1083.0,1085.1,-0.142,-1.922,0.1
D4_D1eD2,36.52,33.13,3684.0,0.0,3684.0,3684.0,3684.0,0.0,0.0,0.0,1456.25,2.17,1460.0,1455.0,1456.25,1.155,-0.667,0.1,1086.15,1.39,1087.0,1083.0,1086.15,-1.615,1.059,0.1
D4_D1eD2,36.53,32.96,3683.4,0.73,3684.0,3682.0,3683.4,-0.786,-0.753,0.1,1456.2,1.66,1460.0,1455.0,1456.2,1.644,1.215,0.1,1085.8,1.57,1087.0,1083.0,1085.8,-0.834,-1.028,0.2
D4_D1eD2,36.54,32.93,3683.0,0.55,3684.0,3682.0,3683.0,0.0,0.333,0.3,1456.15,0.65,1458.0,1455.0,1456.15,1.983,3.89,0.4,1086.35,1.19,1087.0,1084.0,1086.35,-1.402,0.059,0.1
D4_D1eD2,36.54,33.0,3683.55,0.5,3684.0,3683.0,3683.55,-0.201,-1.96,0.1,1457.25,1.04,1459.0,1456.0,1457.25,-0.248,-1.631,0.1,1085.25,1.51,1087.0,1083.0,1085.25,0.179,-1.802,0.1
D4_D1eD2,36.53,32.96,3683.1,1.04,3685.0,3682.0,3683.1,0.063,-1.649,0.1,1457.1,1.04,1459.0,1456.0,1457.1,0.063,-1.649,0.1,1085.9,2.02,1088.0,1083.0,1085.9,-0.009,-1.91,0.1
D4_D1eD2,36.53,32.94,3682.15,1.85,3685.0,3680.0,3682.15,0.442,-1.05,0.2,1455.95,1.32,1461.0,1455.0,1455.95,2.689,7.795,0.5,1086.75,1.37,1088.0,1083.0,1086.75,-0.933,0.374,0.1
D4_D1eD2,36.54,32.85,3683.5,2.29,3685.0,3680.0,3683.5,-0.873,-1.238,0.1,1455.4,1.36,1461.0,1455.0,1455.4,3.577,11.628,0.3,1085.3,0.78,1087.0,1083.0,1085.3,-0.579,2.089,0.1
D4_D1eD2,36.55,32.86,3683.65,1.49,3685.0,3682.0,3683.65,-0.201,-1.96,0.1,1455.0,0.0,1455.0,1455.0,1455.0,0.0,0.0,0.0,1084.55,0.5,1085.0,1084.0,1084.55,-0.201,-1.96,0.1
D4_D1eD2,36.54,32.86,3682.75,1.22,3686.0,3682.0,3682.75,1.313,0.421,0.1,1456.35,2.41,1461.0,1455.0,1456.35,1.314,-0.162,0.1,1083.35,1.28,1085.0,1081.0,1083.35,-1.109,-0.447,0.1
D4_D1eD2,36.54,32.95,3684.55,1.66,3686.0,3682.0,3684.55,-0.582,-1.304,0.1,1457.65,2.17,1461.0,1454.0,1457.65,0.044,-0.924,0.1,1083.3,1.23,1084.0,1081.0,1083.3,-1.232,-0.404,0.1
D4_D1eD2,36.55,33.0,3684.5,1.53,3686.0,3682.0,3684.5,-0.291,-1.603,0.1,1456.85,1.96,1460.0,1453.0,1456.85,-0.27,-1.053,0.1,1083.6,1.77,1087.0,1081.0,1083.6,-0.03,-0.445,0.1
D4_D1eD2,36.55,32.94,3682.9,0.7,3685.0,3682.0,3682.9,1.015,2.038,0.2,1455.95,2.52,1460.0,1453.0,1455.95,0.807,-1.083,0.1,1084.4,2.2,1087.0,1081.0,1084.4,-0.514,-1.075,0.1
D4_D1eD2,36.54,32.98,3683.3,0.71,3684.0,3682.0,3683.3,-0.511,-0.925,0.1,1456.25,2.09,1460.0,1454.0,1456.25,0.386,-0.919,0.1,1084.85,1.01,1087.0,1084.0,1084.85,1.167,0.259,0.1
D4_D1eD2,36.55,33.0,3683.0,1.3,3684.0,3681.0,3683.0,-0.677,-1.374,0.1,1457.3,1.87,1460.0,1454.0,1457.3,-0.074,-0.477,0.2,1084.25,0.62,1086.0,1084.0,1084.25,2.254,3.374,0.1
D4_D1eD2,36.55,32.86,3682.25,0.99,3684.0,3681.0,3682.25,0.401,-0.865,0.1,1456.75,2.45,1460.0,1454.0,1456.75,0.045,-1.57,0.1,1085.2,0.98,1086.0,1084.0,1085.2,-0.408,-1.833,0.1
D4_D1eD2,36.55,32.93,3682.7,0.46,3683.0,3682.0,3682.7,-0.873,-1.238,0.1,1456.8,1.83,1458.0,1454.0,1456.8,-0.873,-1.238,0.1,1086.0,0.0,1086.0,1086.0,1086.0,0.0,0.0,0.0
D4_D1eD2,36.55,33.15,3683.0,0.0,3683.0,3683.0,3683.0,0.0,0.0,0.0,1457.8,0.87,1458.0,1454.0,1457.8,-4.129,15.053,0.1,1085.9,0.44,1086.0,1084.0,1085.9,-4.129,15.053,0.5
D4_D1eD2,36.54,32.92,3683.5,1.28,3686.0,3682.0,3683.5,0.708,-0.81,0.3,1456.7,1.62,1458.0,1454.0,1456.7,-0.931,-0.861,0.1,1085.4,0.97,1086.0,1083.0,1085.4,-1.527,1.073,0.1
D4_D1eD2,36.54,33.02,3683.6,1.32,3686.0,3682.0,3683.6,0.502,-1.135,0.2,1454.45,1.72,1457.0,1453.0,1454.45,0.707,-1.31,0.1,1085.95,1.24,1087.0,1083.0,1085.95,-1.152,0.459,0.1
D4_D1eD2,36.53,33.24,3683.1,0.44,3685.0,3683.0,3683.1,4.129,15.053,0.1,1453.45,1.2,1457.0,1453.0,1453.45,2.529,4.599,0.1,1086.75,0.62,1087.0,1085.0,1086.75,-2.254,3.374,0.1
D4_D1eD2,36.52,32.98,3682.75,0.43,3683.0,3682.0,3682.75,-1.155,-0.667,0.1,1454.9,1.73,1457.0,1453.0,1454.9,0.096,-1.656,0.1,1085.8,0.98,1087.0,1085.0,1085.8,0.408,-1.833,0.1
D4_D1eD2,36.53,32.97,3682.2,0.51,3683.0,3681.0,3682.2,0.272,0.065,0.1,1456.3,1.27,1458.0,1455.0,1456.3,0.159,-1.675,0.1,1085.05,0.22,1086.0,1085.0,1085.05,4.129,15.053,0.1
D4_D1eD2,36.55,33.13,3683.15,1.53,3685.0,3681.0,3683.15,0.169,-1.694,0.1,1457.5,1.5,1459.0,1455.0,1457.5,-0.622,-1.052,0.2,1085.15,0.36,1086.0,1085.0,1085.15,1.96,1.843,0.3
D4_D1eD2,36.55,33.18,3683.8,1.25,3685.0,3681.0,3683.8,-0.542,-0.872,0.1,1458.4,0.92,1459.0,1457.0,1458.4,-0.873,-1.238,0.1,1085.2,0.4,1086.0,1085.0,1085.2,1.5,0.25,0.1
D4_D1eD2,36.55,33.12,3682.6,0.92,3685.0,3682.0,3682.6,1.652,1.823,0.1,1457.8,0.98,1459.0,1457.0,1457.8,0.408,-1.833,0.1,1085.6,0.49,1086.0,1085.0,1085.6,-0.408,-1.833,0.1
D4_D1eD2,36.54,32.88,3682.1,0.44,3684.0,3682.0,3682.1,4.129,15.053,0.3,1458.0,1.0,1459.0,1457.0,1458.0,0.0,-2.0,0.1,1085.95,0.22,1086.0,1085.0,1085.95,-4.129,15.053,0.5
