Scenario,Temp_Mean,Hum_Mean,AccX_Mean,AccX_Std,AccX_Max,AccX_Min,AccX_RMS,AccX_Skew,AccX_Kurt,AccX_PeakFreq_Hz,AccY_Mean,AccY_Std,AccY_Max,AccY_Min,AccY_RMS,AccY_Skew,AccY_Kurt,AccY_PeakFreq_Hz,AccZ_Mean,AccZ_Std,AccZ_Max,AccZ_Min,AccZ_RMS,AccZ_Skew,AccZ_Kurt,AccZ_PeakFreq_Hz
D1,36.54,33.0,3607.55,1.63,3611.0,3605.0,3607.55,-0.368,-0.383,0.2,1479.45,0.74,1481.0,1479.0,1479.45,1.283,0.03,0.1,1237.75,2.49,1240.0,1234.0,1237.75,-0.591,-1.333,0.1
D1,36.54,33.0,3605.9,1.67,3611.0,3605.0,3605.9,1.703,1.908,0.1,1479.05,0.22,1480.0,1479.0,1479.05,4.129,15.053,0.3,1238.25,1.09,1240.0,1235.0,1238.25,-0.507,2.288,0.2
D1,36.54,33.0,3606.5,1.5,3608.0,3605.0,3606.5,0.0,-2.0,0.1,1478.5,0.5,1479.0,1478.0,1478.5,0.0,-2.0,0.1,1236.0,2.0,1238.0,1234.0,1236.0,0.0,-2.0,0.1
D1,36.54,33.0,3608.0,0.0,3608.0,3608.0,3608.0,0.0,0.0,0.0,1478.0,0.0,1478.0,1478.0,1478.0,0.0,0.0,0.0,1234.0,0.0,1234.0,1234.0,1234.0,0.0,0.0,0.0
D1,36.54,33.0,3607.7,0.9,3608.0,3605.0,3607.7,-2.667,5.111,0.1,1478.15,0.36,1479.0,1478.0,1478.15,1.96,1.843,0.1,1235.65,3.02,1243.0,1234.0,1235.65,1.522,0.797,0.1
D1,36.54,33.0,3607.4,1.2,3608.0,3605.0,3607.4,-1.5,0.25,0.1,1477.35,1.15,1479.0,1476.0,1477.35,-0.122,-1.57,0.1,1237.75,3.08,1243.0,1234.0,1237.75,0.543,-0.757,0.1
D1,36.54,33.0,3607.7,0.9,3608.0,3605.0,3607.7,-2.667,5.111,0.1,1476.2,0.6,1478.0,1476.0,1476.2,2.667,5.111,0.1,1237.6,1.8,1243.0,1237.0,1237.6,2.667,5.111,0.1
D1,36.54,33.0,3609.0,2.0,3613.0,3608.0,3609.0,1.5,0.25,0.1,1476.5,0.74,1478.0,1476.0,1476.5,1.103,-0.314,0.1,1235.45,2.75,1237.0,1230.0,1235.45,-1.443,0.164,0.1
D1,36.54,33.0,3609.5,1.86,3613.0,3608.0,3609.5,1.124,-0.306,0.2,1476.6,1.24,1478.0,1475.0,1476.6,-0.151,-1.594,0.1,1235.25,2.66,1237.0,1230.0,1235.25,-1.398,0.111,0.1
D1,36.54,33.0,3609.95,1.16,3612.0,3608.0,3609.95,-0.094,-1.293,0.1,1476.8,1.47,1478.0,1475.0,1476.8,-0.408,-1.833,0.1,1234.85,3.29,1237.0,1229.0,1234.85,-1.122,-0.663,0.1
D1,36.54,33.0,3610.6,1.46,3613.0,3607.0,3610.6,-0.724,0.317,0.6,1476.95,1.47,1478.0,1474.0,1476.95,-0.962,-0.721,0.2,1231.25,3.58,1237.0,1228.0,1231.26,0.799,-1.123,0.3
D1,36.54,33.0,3610.65,1.39,3613.0,3607.0,3610.65,-0.928,1.076,0.5,1475.75,1.34,1478.0,1474.0,1475.75,0.714,-0.971,0.1,1229.2,1.33,1233.0,1228.0,1229.2,2.2,3.866,0.5
D1,36.54,33.0,3611.7,1.23,3614.0,3611.0,3611.7,1.232,-0.404,0.1,1475.3,0.56,1477.0,1475.0,1475.3,1.703,1.908,0.1,1228.2,2.14,1230.0,1224.0,1228.2,-1.37,0.106,0.1
D1,36.54,32.96,3611.95,1.36,3614.0,3610.0,3611.95,0.329,-1.363,0.2,1475.05,1.83,1480.0,1472.0,1475.05,0.318,1.008,0.4,1227.65,2.67,1232.0,1223.0,1227.65,-0.49,-1.151,0.3
D1,36.55,33.01,3610.5,1.75,3613.0,3606.0,3610.5,-0.563,0.21,0.1,1475.7,2.41,1480.0,1472.0,1475.7,0.097,-0.879,0.4,1228.0,4.1,1234.0,1220.0,1228.01,-0.235,-0.989,0.4
D1,36.54,33.1,3609.9,1.7,3613.0,3606.0,3609.9,0.034,-0.079,0.8,1476.95,1.96,1482.0,1474.0,1476.95,0.626,0.238,0.5,1228.9,4.01,1234.0,1220.0,1228.91,-0.643,-0.535,0.3
D1,36.54,33.11,3610.15,2.01,3614.0,3607.0,3610.15,0.276,-0.906,0.1,1477.0,1.76,1482.0,1474.0,1477.0,0.824,1.131,0.5,1230.35,3.42,1241.0,1225.0,1230.35,1.195,2.328,0.7
D1,36.55,33.04,3610.1,1.89,3614.0,3607.0,3610.1,0.121,-0.715,0.2,1476.8,1.44,1479.0,1474.0,1476.8,-0.256,-1.068,0.3,1230.4,5.17,1245.0,1224.0,1230.41,1.231,1.47,0.6
D1,36.55,32.99,3609.85,2.08,3614.0,3604.0,3609.85,-0.733,1.347,0.6,1477.0,1.7,1481.0,1474.0,1477.0,0.364,-0.372,0.3,1229.9,5.12,1245.0,1224.0,1229.91,1.258,1.679,0.8
D1,36.52,33.12,3610.0,2.19,3614.0,3604.0,3610.0,-0.656,0.88,0.7,1477.85,1.65,1481.0,1475.0,1477.85,0.04,-0.488,0.4,1230.65,4.03,1239.0,1224.0,1230.66,0.44,-0.297,0.6
D1,36.52,33.16,3610.25,1.58,3613.0,3607.0,3610.25,0.043,-0.633,0.7,1477.95,1.5,1481.0,1475.0,1477.95,0.174,-0.044,0.6,1230.75,3.73,1239.0,1226.0,1230.76,0.892,-0.127,1.0
